"","name","proportion","cm1","cm2","p_value","num_meta"
"55","xenobiotics metabolism",1,0.957523299058638,15.4028752831059,0.0309577326013212,6
"8","fatty acid biosynthesis",1,0.995429498031343,37.7760178872442,0.0014123813355027,4
"7","fatty acid activation",1,0.980134364480847,21.2243185559752,0.0101231634967262,5
"2","de novo fatty acid biosynthesis",1,0.970978902443519,22.7206512671472,0.00182476250001784,6
"58","beta oxidation of very long chain fatty acids",1,0.952604446509921,18.1935840652842,0.00287387186903121,3
"68","cutin, suberine and wax biosynthesis",0.984375,0.93003805582669,13.2125063061506,0.00868110714826154,2
"27","non-small cell lung cancer",0.859375,0.83955380740476,7.18081340577426,0.0268993720976156,2
"11","fatty acid metabolism",0.8203125,0.96505761117397,19.3779492081953,0.0313471966906705,7
"12","flavone and flavonol biosynthesis",0.765625,0.920548899024907,12.5291473286144,0.00868110714826154,2
"56","zeatin biosynthesis",0.75,0.876992770995307,8.37029454865571,0.0268993720976156,2
"54","vitamin b3 (nicotinate and nicotinamide) metabolism",0.75,0.822571049349253,8.65532734447437,0.00740514754121613,4
"26","nicotinate and nicotinamide metabolism",0.71875,0.804288594240417,6.2185711011468,0.0294665498306551,4
"22","metabolism of xenobiotics by cytochrome p450",0.5,0.884184856759527,8.04418069758292,0.0727396868762706,6
"31","phototransduction - fly",0.4921875,0.900305182651903,10.1128938853502,0.0167383897875029,2
"18","glycosphingolipid metabolism",0.4921875,0.864491407212121,8.27472343967291,0.116772725322262,3
"29","pentose and glucuronate interconversions",0.3671875,0.796947235307362,6.48381989533913,0.0212410689844389,4
"50","ascorbate and aldarate metabolism",0.2734375,0.867684669005001,7.84560139400465,0.0309587556958704,3
"9","fatty acid degradation",0.265625,0.871486289294003,8.15095078606933,0.104104083410174,4
"41","spermidine and spermine biosynthesis",0.25,0.828835788910595,5.82666550582731,0.0838470646671203,2
"28","pathways in cancer",0.25,0.790830000125821,5.02614918364619,0.0723939482356872,3
"21","linoleic acid metabolism",0.25,0.811540026490422,5.50461591899517,0.0675884789241531,2
"42","sphingolipid metabolism",0.2421875,0.59610743778094,2.79640015099346,0.363878055590045,2
"57","beta-alanine metabolism",0.2421875,0.733838139582579,3.78185454180101,0.155228777917623,3
"59","bile acid biosynthesis",0.21875,0.867015009332037,7.80861467969964,0.104974769241733,5
"45","steroid hormone biosynthesis",0.1953125,0.797301941987028,5.68401616168054,0.0410794569753374,8
